STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNOW,TMAX,TMIN
USC00409065,"TOWNSEND 5 S; TN US",35.6031,-83.7781,550.8,1/1/2018,0.01,0.2,25,8
USC00409065,"TOWNSEND 5 S; TN US",35.6031,-83.7781,550.8,1/2/2018,0,0,16,2
USC00409065,"TOWNSEND 5 S; TN US",35.6031,-83.7781,550.8,1/3/2018,0,0,27,2
USC00409065,"TOWNSEND 5 S; TN US",35.6031,-83.7781,550.8,1/4/2018,0,0,33,15
USC00409065,"TOWNSEND 5 S; TN US",35.6031,-83.7781,550.8,1/5/2018,0,0,20,4
USC00409065,"TOWNSEND 5 S; TN US",35.6031,-83.7781,550.8,1/6/2018,0,0,22,3
USC00409065,"TOWNSEND 5 S; TN US",35.6031,-83.7781,550.8,1/7/2018,0,0,26,1
USC00409065,"TOWNSEND 5 S; TN US",35.6031,-83.7781,550.8,1/8/2018,0,0,43,4
USC00409065,"TOWNSEND 5 S; TN US",35.6031,-83.7781,550.8,1/9/2018,0.02,0,44,36
USC00409065,"TOWNSEND 5 S; TN US",35.6031,-83.7781,550.8,1/10/2018,0.1,0,50,36
USC00409065,"TOWNSEND 5 S; TN US",35.6031,-83.7781,550.8,1/11/2018,0,0,63,41
USC00409065,"TOWNSEND 5 S; TN US",35.6031,-83.7781,550.8,1/12/2018,0.2,0,65,42
USC00409065,"TOWNSEND 5 S; TN US",35.6031,-83.7781,550.8,1/13/2018,0.78,0,62,20
USC00409065,"TOWNSEND 5 S; TN US",35.6031,-83.7781,550.8,1/14/2018,0,0,21,15
USC00409065,"TOWNSEND 5 S; TN US",35.6031,-83.7781,550.8,1/15/2018,0,0,27,15
USC00409065,"TOWNSEND 5 S; TN US",35.6031,-83.7781,550.8,1/16/2018,0,0,43,21
USC00409065,"TOWNSEND 5 S; TN US",35.6031,-83.7781,550.8,1/17/2018,0.14,1,40,9
USC00409065,"TOWNSEND 5 S; TN US",35.6031,-83.7781,550.8,1/18/2018,0,0,16,3
USC00409065,"TOWNSEND 5 S; TN US",35.6031,-83.7781,550.8,1/19/2018,0,0,36,3
USC00409065,"TOWNSEND 5 S; TN US",35.6031,-83.7781,550.8,1/20/2018,0,0,48,11
USC00409065,"TOWNSEND 5 S; TN US",35.6031,-83.7781,550.8,1/21/2018,0,0,54,29
USC00409065,"TOWNSEND 5 S; TN US",35.6031,-83.7781,550.8,1/22/2018,0,0,63,30
USC00409065,"TOWNSEND 5 S; TN US",35.6031,-83.7781,550.8,1/23/2018,0.02,0,62,39
USC00409065,"TOWNSEND 5 S; TN US",35.6031,-83.7781,550.8,1/24/2018,0,0,48,31
USC00409065,"TOWNSEND 5 S; TN US",35.6031,-83.7781,550.8,1/25/2018,0,0,43,21
USC00409065,"TOWNSEND 5 S; TN US",35.6031,-83.7781,550.8,1/26/2018,0,0,50,22
USC00409065,"TOWNSEND 5 S; TN US",35.6031,-83.7781,550.8,1/27/2018,0,0,57,29
USC00409065,"TOWNSEND 5 S; TN US",35.6031,-83.7781,550.8,1/28/2018,0.11,0,56,48
USC00409065,"TOWNSEND 5 S; TN US",35.6031,-83.7781,550.8,1/29/2018,0.56,0,51,37
USC00409065,"TOWNSEND 5 S; TN US",35.6031,-83.7781,550.8,1/30/2018,0.04,1,50,24
USC00409065,"TOWNSEND 5 S; TN US",35.6031,-83.7781,550.8,1/31/2018,0,0,34,19
USC00409065,"TOWNSEND 5 S; TN US",35.6031,-83.7781,550.8,2/1/2018,0,0,56,19
USC00409065,"TOWNSEND 5 S; TN US",35.6031,-83.7781,550.8,2/2/2018,0.56,0,53,23
USC00409065,"TOWNSEND 5 S; TN US",35.6031,-83.7781,550.8,2/3/2018,0,0,28,15
USC00409065,"TOWNSEND 5 S; TN US",35.6031,-83.7781,550.8,2/4/2018,0.16,0,42,18
USC00409065,"TOWNSEND 5 S; TN US",35.6031,-83.7781,550.8,2/5/2018,0.98,0,49,26
USC00409065,"TOWNSEND 5 S; TN US",35.6031,-83.7781,550.8,2/6/2018,0.02,0,41,25
USC00409065,"TOWNSEND 5 S; TN US",35.6031,-83.7781,550.8,2/7/2018,0.62,0,59,35
USC00409065,"TOWNSEND 5 S; TN US",35.6031,-83.7781,550.8,2/8/2018,0.51,0,54,28
USC00409065,"TOWNSEND 5 S; TN US",35.6031,-83.7781,550.8,2/9/2018,0,0,48,28
USC00409065,"TOWNSEND 5 S; TN US",35.6031,-83.7781,550.8,2/10/2018,0.8,0,61,30
USC00409065,"TOWNSEND 5 S; TN US",35.6031,-83.7781,550.8,2/11/2018,2.42,0,62,55
USC00409065,"TOWNSEND 5 S; TN US",35.6031,-83.7781,550.8,2/12/2018,0.65,0,65,41
USC00409065,"TOWNSEND 5 S; TN US",35.6031,-83.7781,550.8,2/13/2018,0.1,0,45,37
USC00409065,"TOWNSEND 5 S; TN US",35.6031,-83.7781,550.8,2/14/2018,0.16,0,65,37
USC00409065,"TOWNSEND 5 S; TN US",35.6031,-83.7781,550.8,2/15/2018,0.25,0,69,37
USC00409065,"TOWNSEND 5 S; TN US",35.6031,-83.7781,550.8,2/16/2018,0,0,75,60
USC00409065,"TOWNSEND 5 S; TN US",35.6031,-83.7781,550.8,2/17/2018,0.29,0,65,41
USC00409065,"TOWNSEND 5 S; TN US",35.6031,-83.7781,550.8,2/18/2018,0.44,0,64,40
USC00409065,"TOWNSEND 5 S; TN US",35.6031,-83.7781,550.8,2/19/2018,0,0,61,40
USC00409065,"TOWNSEND 5 S; TN US",35.6031,-83.7781,550.8,2/20/2018,0,0,69,51
USC00409065,"TOWNSEND 5 S; TN US",35.6031,-83.7781,550.8,2/21/2018,0.05,0,75,60
USC00409065,"TOWNSEND 5 S; TN US",35.6031,-83.7781,550.8,2/22/2018,0,0,78,60
USC00409065,"TOWNSEND 5 S; TN US",35.6031,-83.7781,550.8,2/23/2018,0,0,78,59
USC00409065,"TOWNSEND 5 S; TN US",35.6031,-83.7781,550.8,2/24/2018,0.01,0,78,59
USC00409065,"TOWNSEND 5 S; TN US",35.6031,-83.7781,550.8,2/25/2018,0.78,0,75,53
USC00409065,"TOWNSEND 5 S; TN US",35.6031,-83.7781,550.8,2/26/2018,0.13,0,58,50
USC00409065,"TOWNSEND 5 S; TN US",35.6031,-83.7781,550.8,2/27/2018,0.11,0,51,30
